"","Sequence","Speaker","Utterance","X"
"137",NA,"M2:","他那個憂鬱症蠻嚴重的 .",""
"138",NA,"M2:","他完全都在 ,",""
"139",103,"M2:","..自問自答自言[自語] .",""
"140",104,"M1:","[對呀] .",""
"141",105,"M1:","..我就把他 --",""
"142",NA,"M1:","我後來把他<L2 block L2>起來 .",""
"143",106,"M2:","(0)對呀 ,",""
"144",NA,"M2:","我也是 .",""
"145",107,"M1:","(0)然後 ,",""
"146",108,"M1:","..我還舉報他 .",""
"147",109,"M1:","...我還很難過的 .",""
"148",110,"M1:","..真的我舉報他 ,",""
"149",NA,"M1:","之後我老婆跟我講說 ,",""
"150",NA,"M1:","你幹嘛舉報他 ,",""
"151",111,"M1:","..他看不到了@@@ .",""
"152",112,"M2:","...(1.4)你要看那個 ,",""
"153",NA,"M2:","<@你就點進去他那邊就看得到啦@> .",""
"154",113,"M1:","..um ?",""
"155",114,"M2:","..你要點進去他的那一個<L2 area L2>還是看得見他寫的所有東西呀 .",""
"156",115,"M1:","(0)是喔 .",""
"157",116,"M1:","...我把他<L2 block L2> 起來還舉報他 .",""
"158",117,"M2:","(0)<L2 block L2>起來他就不會出現在你那邊 .",""
"159",NA,"M2:","可是 ,",""
"160",NA,"M2:","你從朋友那裡面去搜尋 ,",""
"161",NA,"M2:","他還在你的<L2 listL2>裡面 .",""
"162",118,"M1:","..是喔 .",""
"163",119,"M2:","(0)對 .",""
"164",NA,"M2:","除非你把他解除 ,",""
"165",NA,"M2:","朋友關係 .",""
"166",120,"M1:","(0)我好像把他<L2 delete L2>掉了 .",""
"167",121,"M2:","(0)那你可能就沒了@@@@ .",""
"168",NA,"M2:","因為呢 ，",""
"169",NA,"M2:","我是把他<L2 block L2>住 ,",""
"170",NA,"M2:","然后呢那我點進去還是看得到 .",""
"171",122,"M2:","..那我看他其實 ,",""
"172",123,"M2:","..看得出蠻嚴重的 .",""
"173",124,"M2:","..他那個其實需要看醫[生] .",""
"174",125,"M1:","[他好像]現在 --",""
"175",126,"M1:","..現在都是寫信給那個 ,",""
"176",127,"M1:","..叫什麼名字 ,",""
"177",128,"M1:","...徐XX.",""
"178",129,"M2:","(0)@@他會每個人發啦 .",""
"179",130,"M2:","..他沒有發給我 ,",""
"180",131,"M2:","..因為他不知道我是誰 .",""
"181",132,"M2:","..他只是把我加-",""
"182",NA,"M2:","他可能看出我是 --",""
"183",133,"M1:","..他可能 ,",""
"184",134,"M1:","..[他可能] --",""
"185",135,"M2:","[這些]人的[[朋友]] .",""
"186",136,"M1:","[[他可能]]會 --",""
"187",NA,"M1:","會發到黃那邊去吧 .",""
"188",137,"M1:","..不過黃應該不會理他 .",""
"189",138,"M2:","..沒有啊完全沒任何反應啊 .",""
"190",139,"M2:","...因為我也看一下X黃X的那個 --",""
"191",140,"M2:",".. <L2 Facebook L2>他好像也都沒什麼他應該也是把他<L2 block L2>的動作 .",""
"192",141,"M1:","(0)um .",""
"193",142,"M1:","...(1.4)對呀 .",""
"194",143,"M2:","(0)那我有進去看他寫那個我就覺得說 ,",""
"195",144,"M2:","..他那個思緒整個都亂掉了 .",""
"196",145,"M2:","..他那個其實真的[就是] --",""
"197",146,"M1:","[有]嚴重被害妄想 .",""
"198",147,"M2:","(0)他不管 .",""
"199",148,"M2:","..他那個ho不管吃藥 .",""
"200",149,"M2:","..跟心<L2 pro L2>看都要做 .",""
"201",150,"M2:","...這是 --",""
"202",151,"M2:","..這個是蠻麻煩的事但是最怕的就是他 --",""
"203",NA,"","..我看他他好像不承認 .",""
"204",152,"M1:","(0)對呀 .",""
"205",153,"M2:","(0)我看到他有好他朋友 ,",""
"206",154,"M2:","..在裡面寫說eh[他是不是變]了或者說他是不是生病了是不是需要去看醫生他也都沒回應 .",""
"207",155,"M1:","[XXX] .",""
"208",156,"M2:","...(1.8)他一定是自己簡單來說他有這樣的狀況 .",""
"209",157,"M1:","..當然 ,",""
"210",158,"M1:","..沒有幾個人覺得說自己有神經病 .",""
"211",159,"M2:","..@@其實這是有預見就是<L2 depression L2>嘛 .",""
"212",160,"M2:","..就看一看應該還好啊 .",""
"213",161,"M2:","...(1.5)對不對 ?",""
"214",162,"M1:","..也是啦 .",""
"215",163,"M1:","..因為前幾天他才來找我吃飯 ,",""
"216",164,"M1:","..小樓回來[台灣] --",""
"217",165,"M2:","[蛤]那我覺得他 --",""
"218",166,"M2:","..他這樣子他壓力應該很大耶 .",""
"219",167,"M2:","..他有他離了嗎 ?",""
"220",168,"M1:","..他說在<L2 file divorce L2>啊 .",""
"221",169,"M2:","唉 .",""
"222",170,"M1:","...(1.8)他說他從澳門<L2 file divorce L2> 在台灣<L2 file L2>保護令 .",""
"223",171,"M1:","...(2.3)要分居的時間夠 --",""
"224",172,"M1:","..夠久好像滿兩年他就 --",""
"225",173,"M1:","...他就可以離婚了 .",""
"226",174,"M2:","(0)[很辛苦] .",""
"227",175,"M1:","(0)所以他必須<L3 kin L3>住兩年 .",""
"228",176,"M2:","(0)然後 ,",""
"229",177,"M2:","...聽我上次聽我忘記誰講的女方家人認為說他們女兒沒有問[題] .",""
"230",178,"M1:","[對呀] .",""
"231",179,"M2:","..是真的被 --",""
"232",180,"M2:","..女 --",""
"233",NA,"","..他老公家暴靠 .",""
"234",181,"M2:","..<@那問題就不是這樣子嘛你任何 --",""
"235",182,"M2:","..頭腦清楚的人@>看到他的言行[[就知道他有問題啊]] .",""
"236",183,"M1:","                                         ...(5.3)[[<L2 so L2>小樓跟我講說]] ,",""
"237",NA,"","..他只是幫個魚換個水因為有的時候不是那個水用用 --",""
"238",184,"M1:","..用那個水管要用嘴巴吸嗎 .",""
"239",185,"M1:","...就是把那個水吸出來吸出一個<L2 vacuum L2> .",""
"240",186,"M1:","..就真空嘛然後再利用那個真空的原理把那個水倒出來 .",""
"241",187,"M1:","...那他說 ,",""
"242",188,"M1:","..他看到小樓那樣子說小樓吸毒 .",""
"243",NA,"","..@@@@<@小樓就 --",""
"244",189,"M1:","...最好魚缸那個是@>@@@ .",""
"245",190,"M2:","...喔 .",""
"246",191,"M2:","..我覺得他其實這樣他很可憐 .",""
"247",192,"M2:","..如果ho他沒有 --",""
"248",193,"M2:","...他其實可以強制就醫吧 .",""
"249",194,"M1:","..靠XXX .",""
"250",195,"M2:","...如果[他XXX] --",""
"251",196,"M1:","[<L2 Hey look bro L2>] <L2 That's a fine line between L2> --",""
"252",NA,"","..強制就醫<L2 and L2> 家暴<L2 <@OK@>; L2>@ ?",""
"253",197,"M2:","...所以要是我 ,",""
"254",198,"M1:","..他強制就醫的話他<L2 parents L2>可以幫他強制就醫 .",""
"255",199,"M1:","..我們不行 .",""
"256",200,"M2:","(0)為[什麼] ?",""
"257",201,"M1:","[我們做]老公的不行 .",""
"258",202,"M2:","..可以吧 ?",""
"259",203,"M1:","..uh除非對我們造成 --",""
"260",204,"M1:","..<@生活上的[損害]@> .",""
"261",205,"M2:","[應該可以]呀他那個影響這麼大其實 --",""
"262",206,"M2:","..我記得可以家屬 --",""
"263",207,"M2:","..你只要打電話跟醫院講 ,",""
"264",208,"M2:","..像是台大榮總或是北醫都可以 ,",""
"265",209,"M2:","..他們會查 .",""
"266",210,"M2:","..他就可以派人來 .",""
"267",211,"M2:","..然後必要時你可以跟他講說你要警察一起來 .",""
"268",212,"M2:","...然後<@就把他@> --",""
"269",213,"M1:","[[把他綁起來]] .",""
"270",214,"M2:","[[<@輕微的@>]] .",""
"271",215,"M1:","..[[[@@@@@@]]]",""
"272",216,"M2:","..[[[輕 --",""
"273",217,"M2:","..不要說我把他 ,",""
"274",218,"M2:","..輕微的<@綁一下帶走@>]]] .",""
"275",219,"M1:","[[[@@@@@@@@@@@@@@]]]",""
"276",220,"M2:","他[[其實]]就這[[[樣]]] ,",""
"277",221,"M1:","[[用]] --",""
"278",NA,"M1:","[[[用]]]膠帶捆起來@[@] .",""
"279",NA,"M2:","[對]但是問題是重點是如果他現在不知道他老婆在哪裡 .",""
"280",222,"M1:","..對呀 .",""
"281",223,"M2:","..那就很麻煩 .",""
"282",224,"M1:","(0)可是他跟我講說 ,",""
"283",225,"M1:","...他老婆現在好像在搞一些 --",""
"284",226,"M1:","..他們家的那個 --",""
"285",227,"M1:","...這個給他 --",""
"286",228,"M1:","..之前給他兒子的那一些黃金大概加起來有半斤左右 .",""
"287",229,"M1:","..八兩喔 .",""
"288",230,"M1:","..<@八兩喔@>@@@@@ .",""
"289",231,"M2:","..這真的是蠻扯的 .",""
"290",232,"M1:","...然後到 --",""
"291",233,"M1:","..賣到只剩下一副 .",""
"292",234,"M2:","...(2.2)tsu .",""
"293",235,"M1:","(0)然後說 --",""
"294",236,"M1:","..這個 --",""
"295",237,"M1:","...都 --",""
"296",238,"M1:","..他到台北請人家吃飯都很闊氣的請<L2 W Hotel L2>喔 .",""
"297",239,"M2:","..tsu他整個思緒跟 --",""
"298",240,"M2:","... [shi] --",""
"299",241,"M2:","...頭腦整個都亂了 .",""
"300",242,"M1:","[um] .",""
"301",243,"M1:","(0)想說 --",""
"302",244,"M1:","..你老婆在 --",""
"303",245,"M1:","..高雄哪裡呀 ?",""
"304",246,"M1:","..他說我不知道 .",""
"305",247,"M1:","..好像都不跟他聯絡然後就說他都傳一些很奇怪的簡訊給他還給我看 .",""
"306",248,"M1:","..然後他就說看到就 --",""
"307",249,"M1:","..真的就覺得很 --",""
"308",NA,"","..很詭異 .",""
"309",250,"M1:","..還<L2 actually L2>說我李昌钰啊幹嘛的跟他當好朋友呀 .",""
"310",251,"M2:","(0)他就寫一些很[奇怪的東西呀] .",""
"311",252,"M2:","..一看就知道是有點問題 .",""
"312",253,"M2:","..不是很有點問題是有很大的問題的 .",""
"313",254,"M1:","[@@@] .",""
"314",255,"M1:","...(2.0)應該叫我老婆去看一下 ,","Minyi"
"315",256,"M1:","..看看有沒有辦法<L2 link it to L2>這個 --",""
"316",257,"M1:","..把他加起來當朋友X .",""
"317",258,"M2:","(0)@@@我還有你要看他的東西我都看得到 .",""
"318",NA,"","..@只是我把他<L2 block L2> -",""
"319",NA,"","但是我只要點進去還是看得到我覺得很好笑 .",""
"320",259,"M1:","(0)後來我好像是把他<L2 delete L2>掉 .",""
"321",260,"M2:","(0) um .",""
"322",261,"M1:","<L2 Maybe it’s why L2> .",""
"323",262,"M1:","..因為我覺得-",""
"324",263,"M1:","...這種人沒事的-",""
"325",264,"M1:","..沒事在那邊寫一些怪裡怪氣的東[西] .",""
"326",265,"M2:","                                                    [他]寫很多 ,",""
"327",266,"M2:","..我就是自從 ,",""
"328",267,"M2:","..把他加進來-",""
"329",NA,"","(0)然後我就馬上把他<L2 block L2>住 ,",""
"330",NA,"","..後來就不見了 .",""
"331",268,"M1:","..XXX喔 .",""
"332",269,"M2:","(0)但是其實你要看都還是看得到啦 ,",""
"333",NA,"","..很好笑 .",""
"334",270,"M2:","...(4.0)唉這個現代人的毛病也是很多耶 .",""
"335",271,"M1:","..蛤那個尤其是 --",""
"336",272,"M1:","..很嚴重啊 .",""
"337",NA,"","..小樓也講說他也沒有說 .",""
"338",273,"M1:","..他說覺得說如果說他覺得在家裡太無聊 .",""
"339",274,"M1:","..他就去 --",""
"340",275,"M1:","...去工作嘛 .",""
"341",276,"M1:","...賺多賺少那是一回事啊 .",""
"342",277,"M2:","..um .",""
"343",278,"M1:","..然後去工作有點事情做 .",""
"344",279,"M1:","...(2.2)那 --",""
"345",280,"M1:","..他又不要 .",""
"346",281,"M2:","...(1.9)那像 --",""
"347",282,"M2:","..我想一下我最後我-",""
"348",283,"M2:","..因為我跟他不熟 --",""
"349",NA,"","是李跟嘉認識他 .",""
"350",284,"M2:","..然後零九年那時候[我們剛好在去] --",""
"351",285,"M1:","[在他在]內湖有一段時間了 .",""
"352",287,"M1:","..因為我那時候剛進[[寶來的]]那時候 ,",""
"353",288,"M2:","[[喔喔]] .",""
"354",289,"M1:","..他 --",""
"355",290,"M1:","...(1.7)那時候我寫<L2 Moodys L2>信評他寫 --",""
"356",291,"M1:","..[[[他寫]]]中華信評 .",""
"357",292,"M2:","...(3.5)[[[喔]]] .",""
"358",293,"M1:","..所以信評這個部分我們算是有交[[[[集]]]] .",""
"359",294,"M2:","[[[[那]]]]我在猜他後來應該就 --",""
"360",295,"M2:","..零九年我碰到他的時候 --",""
"361",296,"M2:","..他看起來應該已經有那樣的症狀-",""
"362",NA,"","只是那時候不嚴重還是說因為 --",""
"363",297,"M2:","..朋友來 --",""
"364",NA,"","然後因為那一天他也沒講什麼話 .",""
"365",298,"M1:","[喔] .",""
"366",299,"M2:","[我們也感]受 --",""
"367",300,"M2:","..[[我們也感覺不出來]] .",""
"368",301,"M1:","[[大概-",""
"369",302,"M1:","..大概就是]]趕快他媽的吃完跑了 ,",""
"370",303,"M2:","..對那一天我們也感覺不出來他有什麼特殊的異樣說真的 .",""
"371",304,"M1:","...(1.3)李知道嗎 ?",""
"372",305,"M2:","(0)都知道阿 .",""
"373",306,"M1:","...(0.9)李也有被他騷擾過嗎 ?",""
"374",307,"M2:","...(0.7)好像有 .",""
"375",308,"M1:","[@@@]",""
"376",309,"M2:","[但是呢] --",""
"377",310,"M2:","..李應該也是把他打發掉而已 .",""
"378",311,"M1:","...(1.8)那李那個比較厲害啦 .",""
"379",312,"M2:","..應該就是把他打發掉 .",""
"380",313,"M1:","..李應該就是 ,",""
"381",314,"M1:","...(1.7)<L3 tseng siau e L3>啦 .",""
"382",315,"M2:","(0)對呀 .",""
"383",316,"M2:","..@",""
"384",317,"M1:","...(2.3)eh他現在還-",""
"385",318,"M1:","..他現在還在大展 .",""
"386",319,"M2:","(0)um .",""
"387",320,"M2:","..他掛執副我在猜他可能過兩年變總經理 .",""
"388",321,"M1:","(0)總經理 .",""
"389",322,"M2:","(0)@@",""
"390",323,"M1:","..eh你不要看 .",""
"391",324,"M1:","..那個莉從投信離開了之後現在是國泰-",""
"392",NA,"","(0)國泰證的總經理ne .",""
"393",325,"M2:","(0)對我有聽說 ,",""
"394",NA,"","(0)那個國泰證想要 --",""
"395",326,"M2:","..看看有沒有辦法做到-",""
"396",NA,"","(0)可是 --",""
"397",327,"M2:","..我覺得還是很小呀 .",""
"398",328,"M2:","...他是不是才兩個店還三個[店] .",""
"399",329,"M1:","[他]-",""
"400",330,"M1:","..他找白當總經理可能會大一點 .",""
"401",NA,"","<@找莉當總經理<L3 na u kho liang L3>@> .",""
"402",331,"M2:","...(1.8)然後莉[[也]]挖了幾個以前寶來的人過去 .",""
"403",332,"M1:","[[不然]]-",""
"404",333,"M1:","(0)不然就找那個 --",""
"405",334,"M1:","...找那個 --",""
"406",335,"M1:","..找黃老爹當總經理呀 .",""
"407",336,"M1:","..<@那好一點好不好@> .",""
"408",337,"M2:","..莉 ,",""
"409",338,"M2:","..我覺得他只會做小事eh .",""
"410",339,"M1:","..沒有啊我說 ,",""
"411",340,"M1:","..他-",""
"412",341,"M1:","..他在-",""
"413",NA,"","(0)他在我們之前那個也就是穿著<L2 Prada L2>的惡魔啊 .",""
"414",342,"M2:","(0)對呀 .",""
"415",343,"M1:","(0)@@[@@XXX]",""
"416",344,"M2:","[他都管一些無]聊的小事 .",""
"417",345,"M1:","[[辦公桌放一邊]] .",""
"418",346,"M2:","[[是蠻無聊的]] .",""
"419",347,"M2:","..對沒什麼意思[[[啊]]] .",""
"420",348,"M1:","[[[唉]]] .",""
"421",349,"M2:","...(1.4)那陣子我剛好[在] ,",""
"422",350,"M1:","[喔對]你那時候[[在內湖]] .",""
"423",351,"M2:","[[我很討厭阿]]我覺得他很煩 .",""
"424",NA,"","(0)他一開始先說什麼<L2 MSN L2>不能用 .",""
"425",352,"M1:","...這個合理呀合理呀合理 .",""
"426",353,"M2:","(0)然後大家就改用<L2 Skype L2> .",""
"427",NA,"","(0)然後後來呢 ,",""
"428",354,"M2:","..後來又說 --",""
"429",355,"M2:","...你有申請他就可以開放-",""
"430",NA,"","(0)反正我們就大家去申請 .",""
"431",NA,"","(0)然後只是那陣子就比較少 .",""
"432",NA,"","(0)然後又說 --",""
"433",356,"M2:","...(.9)什麼辦公桌上面什麼東西要怎麼擺 .",""
"434",NA,"","(0)然後我想說你-",""
"435",NA,"","(0)頭腦有問題我根本不甩他 .",""
"436",357,"M2:","...(.7)然後有一陣子還 ,",""
"437",358,"M2:","...(.8)人資還跟我說什麼我-",""
"438",359,"M2:","...(1.0)我西裝外套吊後面不行 .",""
"439",360,"M2:","..我想說我吊在那邊關你屁事啊 ?",""
"440",NA,"","(0)是怎樣 ?",""
"441",NA,"","..我就[不甩他] .",""
"442",361,"M1:","[喔對]你是說吊在椅子-",""
"443",NA,"","(0)掛在椅子上呀 .",""
"444",362,"M2:","(0)不是椅子上 .",""
"445",NA,"","(0)後面那個 ,",""
"446",363,"M2:","..<L2 cubicle L2>那個 ,",""
"447",364,"M2:",".. <L2 cubicle wall L2>上面 .",""
"448",365,"M1:","(0)喔 .",""
"449",366,"M1:","...為什麼不行 ?",""
"450",367,"M2:","(0)我那邊有一根 --",""
"451",NA,"","(0)那種有一個突出來 .",""
"452",NA,"","(0)我就用[一個衣架掛] .",""
"453",368,"M1:","[對呀] .",""
"454",NA,"","(0)對呀很多人都這樣啊 .",""
"455",369,"M2:","(.8)他說什麼有礙風化-",""
"456",NA,"","(0)我想說我管你的 ?",""
"457",NA,"","(0)如果不高興就把我趕走呀 !",""
"458",NA,"","..你把我<L2 fire L2>掉好了 !",""
"459",NA,"","(0)還是你減我薪-",""
"460",NA,"","(0)我就不甩他-",""
"461",NA,"","(0)我就繼續掛-",""
"462",370,"M2:","..然後他還會來檢查說什麼領帶 .",""
"463",371,"M2:","...什麼顏色 .",""
"464",372,"M2:","...(.7)他那個頭腦真得都壞掉了 .",""
"465",NA,"","(0)反正我就不甩 .",""
"466",NA,"","(0)一直在那邊X不甩不甩不甩不[[甩]] .",""
"467",373,"M1:","[[eh]]我們以前-",""
"468",374,"M1:","..以前-",""
"469",375,"M1:","...(.8)喔對了 ,","Sherry"
"470",NA,"M1:","你不是坐裡面哪 .",""
"471",376,"M1:","... (.9)南海特區 .",""
"472",NA,"M1:","@@@@",""
"473",377,"M2:","..一開始呢 ,",""
"474",NA,"M2:","我有坐在裡面 ,",""
"475",NA,"M2:","然後後來[因為] --",""
"476",378,"M1:","[那你]為什麼搬出來 ?",""
"477",379,"M2:","..因為他們 --",""
"478",NA,"M2:","劉被換進去 .",""
"479",380,"M1:","(0)喔 ,",""
"480",381,"M1:","...[對對對對對] .",""
"481",382,"M2:","   [然後我就搬出來] ,",""
"482",NA,"M2:","劉坐到我的位子上 .",""
"483",383,"M1:","(0)對對對[[對對]] .",""
"484",384,"M2:","               [[然後]]搬出來我想說也沒差 ,",""
"485",NA,"M2:","因為 --",""
"486",385,"M1:","(0)應該是坐在那個角落[那個] ,",""
"487",386,"M2:","[對] .",""
"488",387,"M1:","(0)之前 ,",""
"489",NA,"M1:","就是 ,",""
"490",388,"M1:","...um ,",""
"491",389,"M1:","...(.7)這個 ,",""
"492",NA,"M1:","蔡秘書的後面的後面黃後[面]的位子 .",""
"493",390,"M2:","[對] .",""
"494",391,"M2:","..然後呢後來呢劉搬進去 ,",""
"495",NA,"M2:","那我就搬出來 ,",""
"496",NA,"M2:","那在外面 ,",""
"497",NA,"M2:","反正也不會常常遇到XXX或遇到什麼東西 ,",""
"498",NA,"M2:","我在外面也很<L2 OK L2> .",""
"499",392,"M2:","..可是有時候他就會有一些人在那邊晃來晃去 .",""
"500",NA,"M2:","聽說啦 ,",""
"501",393,"M2:","...之前 ,",""
"502",NA,"M2:","莉還晃到裡面去 .",""
"503",394,"M2:","..好幾次 .",""
"504",395,"M1:","..um ,",""
"505",NA,"M1:","[那最好 --",""
"506",NA,"M1:","最好看到 --]",""
"507",398,"M2:","[XXXXXX西]",""
"508",396,"M1:","..最好看到白 ,",""
"509",397,"M1:","..的那個衣服是掛在牆壁上 .",""
"510",399,"M2:","(0)他當然不會講啊 ,",""
"511",NA,"M2:","[[反正]]後來就大家就有在那邊 ,",""
"512",400,"M2:","...抱怨連天 .",""
"513",NA,"M2:","所以後來 ,",""
"514",NA,"M2:","一陣子以後他就沒繼續弄了 .",""
"515",402,"M1:","..對呀 .",""
"516",403,"M2:","(0)他好像就玩了半年吧 .",""
"517",404,"M1:","..我知道呀 .",""
"518",405,"M2:","(0)感覺那個非常愚蠢 .",""
"519",406,"M2:","..非常可笑 .",""
"520",407,"M1:","..我知道 ,",""
"521",NA,"M1:","後來好像 ,",""
"522",408,"M1:","...(.8)好像 ,",""
"523",409,"M1:","...白總把他 --",""
"524",410,"M1:","...(1.0)扔去投信了吧 .",""
"525",411,"M2:","...對啊 ,",""
"526",NA,"M2:","掛個副董沒事幹吧 .",""
"527",412,"M1:","..對阿副董事長在幹嘛 ?",""
"528",413,"M2:","..不知道啊@@@@",""
"529",414,"M1:","(0)不過我倒是很訝異國泰証會找他當總經理 .",""
