"","TurnSeq","Speaker","Utterance","IUSeq"
"109",66,"M:","(.) 禮拜天 是 復活節 .",109
"110",67,"F1:","(.) 喔= .",110
"111",68,"M:","(.) 但 應該 沒有 人 在乎 --",111
"112",68,"M:","(.) who cares .",112
"113",69,"F1:","(.) 我 國中 的 時候 會過 復活節 欸 .",113
"114",70,"M:","(.) 因為 你們 是 天主教 學校 .",114
"115",71,"F1:","(.) 就 那 時候 大家 都 要 帶 一 個 雞蛋 去 學校 這樣 .",115
"116",72,"M:","(.) 然後 畫 嗎 ?",116
"117",73,"F1:","(.) 對 對 ,",117
"118",73,"F1:","(.) 對 .",118
"119",74,"M:","(.) 可是 ,",119
"120",74,"M:","(.) 不是 有 一 個 套子 可以 套 起來 .",120
"121",75,"F2:","(.) 對 [可是 就是 整個 那 種] .",121
"122",76,"M:","[我 小 時候 一直 很 好奇] 那 個 套子 怎麼 套 上去 的 欸 .",122
"123",77,"F1:","(.) 不 知道 我們 就是 自己 --",123
"124",78,"M:","(.) 妳 不 好奇 嗎 ?",124
"125",79,"F1:","(.) 什麼 套子 .",125
"126",80,"M:","(.) 就是 有的 雞蛋 他 會有 那 種 塑膠套 .",126
"127",80,"M:","(.) 就是 他們 的 彩繪蛋 很 便宜 可以 買到 那 種 .",127
"128",81,"F2:","(.) 直接 弄 上去 的 那 種 .",128
"129",82,"M:","(.) 可是 你 不 知道 那 怎麼 套 進去 因 為 它 是 --",129
"130",83,"F2:","(.) 好像 是 那 種 長方形 的 ,",130
"131",83,"F2:","(.) 然後 用 熱 讓 它 縮 起來 那 種 .",131
"132",84,"F1:","(.) 我 沒 看過 欸 .",132
"133",85,"M:","(.) 喔 你 還 研究 過 喔 .",133
"134",86,"F1:","(.) 我們 以前 都 是 自己 帶 就是 空 的 蛋殼 .",134
"135",87,"M:","(.) 然後 你們 要 自己 畫 .",135
"136",88,"F1:","(.) 對 啊 .",136
"137",88,"F1:","(...) 然後 還 要 做 什麼 裝飾 ,",137
"138",88,"F1:","(...) 而且 那 時候 我 同學 還 忘記 帶 .",138
"139",88,"F1:","(.) 他 就 去 福利 社 買 了 一 顆 蛋 ,",139
"140",88,"F1:","(.) 然後 拿 一 根 針 把 蛋黃 全部 戳 出來 .",140
"141",88,"F1:","(.) 就是 那 個 --",141
"142",88,"F1:","(.) 然後 再 拿 去 畫 .",142
"143",88,"F1:","(.) 而且 他 那 個 蛋 還 中午 拿去 給 廚房 然後 阿姨 就 說 --",143
"144",88,"F1:","(.) 阿姨 要 加 菜 .",144
"145",88,"F1:","(.) 然後 中午 就 多 了 一 個 煎蛋 吃 .",145
"146",89,"F2:","(.) @=",146
"147",90,"M:","(.) QQ",147
"148",91,"F1:","(.) 就 福利 社 [也 有 賣 生 雞蛋] @ .",148
"149",92,"M:","[欸 PyTorch --",149
"150",92,"M:","(.) 有 要 期中考 嗎] 你 都 有 去 嗎 ?",150
"151",93,"F2:","(.) 我 沒有 都 有 去 .",151
"152",93,"F2:","(.) 我 這 禮拜 有 去 ,",152
"153",93,"F2:","(.) 我 上 禮拜 沒 去 .",153
"154",94,"M:","(.) 喔 .",154
"155",94,"M:","(.) 因為 學長 都 會 問 我 說 你 要 不要 去 PyTorch .",155
"156",94,"M:","(.) 我 都 說 嗯 .",156
"157",95,"F2:","(.) 你 為什麼 有 認識 學長 .",157
"158",96,"M:","(.) 那 個 啊 詹 --",158
"159",97,"F1:","(.) [2哦2]= .",159
"160",98,"F2:","[2哦2]= .",160
"161",99,"M:","(.) 他 沒有 修 啊 .",161
"162",99,"M:","(.) 可是 他 都 會 問 我 要 不要 去 .",162
"163",100,"F2:","(.) 之 之 他 就是 想 跟 你 聊天 啊 .",163
"164",101,"M:","(.) 對 啊 然後 我 就 會 跟 他 說 --",164
"165",101,"M:","(.) 嗯= 然後 他 說 好拉 你 不 去 就 算了 拉 .",165
"166",101,"M:","(.) @@ 然後 我 就 嗯= 就 嗯= 你 可以 跟 他 聊天 啊 .",166
"167",102,"F2:","(.) 啊 他 就 沒 去 了 啊 .",167
"168",103,"M:","(.) 他 後來 就 沒 再 出現 了 .",168
"169",103,"M:","(.) 喔 我 好像 有 一 次 問 他 他 說 他 ## ## .",169
"170",103,"M:","(.) 他 不是 有 修 那 個 嗎 .",170
"171",104,"F2:","(.) 哪 個 ?",171
"172",105,"M:","(.) 無人機 .",172
"173",106,"F2:","(.) 喔 對 啊 ,",173
"174",106,"F2:","(.) 有 啊 .",174
"175",106,"F2:","(.) 他 有 修 .",175
"176",107,"M:","(.) 無人機 好玩 嗎 ?",176
"177",108,"F2:","(.) 就 飛 啊 .",177
"178",109,"M:","(.) 你們 真的 飛 喔 ?",178
"179",110,"F2:","(.) 我 不是 跟 你 講 我們 實驗室 有 那 個 ,",179
"180",110,"F2:","(.) 架 網子 設備 .",180
"181",110,"F2:","(.) 然後 就是 小小 的 .",181
"182",111,"M:","(.) 那 飛 了 摔 下來 怎麼 辦 .",182
"183",112,"F2:","(.) 所以 我們 架 網子 就是 底下 就是 那 種 有 底端 具 .",183
"184",113,"F1:","(.) 就 摔 了 不 會 怎樣 那 種 .",184
"185",114,"F2:","(.) 我們 現在 飛 的 是 小 飛機 .",185
"186",114,"F2:","(.) 三千多 塊 的 那 種 小 Tello [而已] .",186
"187",115,"M:","[喔 好爛 喔 .",187
"188",115,"M:","(.)] 那 個 很 難 飛 吧 .",188
"189",116,"F2:","(.) 就 用 ROS .",189
"190",117,"M:","(.) 喔 你們 是 寫 程式 .",190
"191",118,"F2:","(.) 就 用 ROS .",191
"192",119,"M:","(.) 我 飛過 那 個 .",192
"193",120,"F2:","(.) 有 .",193
"194",120,"F2:","(.) 他們 也 有 --",194
"195",120,"F2:","(.) 有 做過 這個 那 種 的 .",195
"196",120,"F2:","(.) 然後 飛 在 河堤 , ",196
"197",120,"F2:","(.) 然後 結果 就 掉 下去 河堤 裡面 ,",197
"198",120,"F2:","(.) 然後 就 叫 他們 不要 去 撿 了 .",198
"199",121,"M:","(.) 那 個 大 什麼 [大] --",199
"200",122,"F2:","[大疆] .",200
"201",123,"M:","(.) 那 個 一 台 超貴 的 十五 萬 .",201
"202",124,"F2:","(.) 有 我們 有 買 一 台 二十 萬 的 .",202
"203",125,"M:","(.) 那 個 超 好飛 的 欸 .",203
"204",126,"F2:","(.) 可=是= 因 為 那 台 不 能 做 ROS [然 後] 就 --",204
"205",127,"M:","[對 啊] 可是 那 個 手感 真 的 是 <L3 iao - shiu - zhang ((非常 讚) ) L3> 欸 @ .",205
"206",128,"F2:","(.) 他們 也 不 敢 讓 我 飛 他們 也 不 敢 飛 ,",206
"207",128,"F2:","(.) 他們 --",207
"208",128,"F2:","(.) 那 --",208
"209",128,"F2:","(.) 那 一 --",209
"210",128,"F2:","(.) 台 到 現在 還 沒有 就是 整個 打開 .",210
"211",129,"M:","(.) 那 就是 只要 附近 是 空曠 的 ,",211
"212",129,"M:","(.) 基本上 你 隨便 飛 欸 .",212
"213",130,"F2:","(.) 但 --",213
"214",130,"F2:","(.) 像 山上 就是 雖然 空曠 [2但是 山上 有 那 個2] .",214
"215",131,"F1:","[2會 撞到 嗎2] ?",215
"216",132,"F2:","(.) 沒有 他 有 訊號 干擾 .",216
"217",132,"F2:","(.) 所以 其實 山上 其實 ,",217
"218",132,"F2:","(.) 那 時候 我們 一 開始 在 上面 辦 記者 招待會 的 時候 ,",218
"219",132,"F2:","(.) 他 有 想要 就是 在 那 邊 展示 就是 那 個 無人機 飛 .",219
"220",132,"F2:","(.) 好像 就是 那 種 軍隊 可以 在 空中 做 一些 什麼 排列 組合 那 種 .",220
"221",133,"M:","(.) 你 說 屏東 那 個 .",221
"222",134,"F2:","(.) 對 對 對 那 種 東西 然後 在 山上 就 弄 不 起 來 .",222
"223",135,"M:","(.) 真的 喔 那 山上 是 有 什麼 訊號 干擾 .",223
"224",136,"F2:","(.) 不 知道 他們 說 山上 訊號 很 強 .",224
"225",136,"F2:","(.) 可是 訊號 干擾 就 真的 .",225
"226",136,"F2:","(...) 就是 他 可以 就是 我們 明明 就 已經 控制 好 無人機 是 從 這邊 這樣 飛 過去 的 ,",226
"227",136,"F2:","(.) 但是 它 可以 就是 直接 這樣 偏掉 .",227
"228",137,"M:","(.) 哦= 那 我 覺得 是 你們 無人機 太 爛 @ .",228
"229",138,"F2:","(.) 沒有 他們 好像 試過 很多 方法 就是 --",229
"230",138,"F2:","(.) 就是 訊 --",230
"231",138,"F2:","(.) 山上 訊號 的 問題 .",231
"232",139,"M:","(.) 因為 他 那 個 ,",232
"233",139,"M:","(.) 他 那 個 有 GPS 定位 在 戶外 .",233
"234",139,"M:","(.) 它 是 真的 會 完全 死 ,",234
"235",139,"M:","(.) 死 在 那 邊 不 動 .",235
"236",140,"F2:","(.) 對 啊 它 那 個 是 連 GPS 都 失效 .",236
"237",141,"M:","(.) 好 可怕 就是 那 個 .",237
"238",141,"M:","(.) 我 非常 確定 那天 風 超大 我 在 那 邊 飛 --",238
"239",141,"M:","(.) 然後 他 就 完全 不 會 動 .",239
"240",141,"M:","(.) 我 就 wow 好帥 喔 .",240
"241",142,"F2:","(.) 而且 那 很 [吵] ,",241
"242",143,"F1:","[喔] .",242
"243",144,"M:","[喔] @ 而且 很 涼 .",243
"244",147,"F1:","(.) [哇=] .",244
"245",145,"F1:","(.) 可以 當 吹風 啊 [2電風扇2] .",245
"246",146,"F2:","[2我 那 時候 穿 裙子2] 裙子 是 整個 起來 的 那 種 ,",246
"247",148,"F2:","[我 後來 是 黏] 雙面膠 .",247
"248",161,"F1:","(.) 就 什麼 黏 在 腿 上 裙子 黏 在 [腿 上] .",248
"249",149,"F1:","(.) 你 那 時候 是 黏 雙 .",249
"250",150,"F2:","(.) 什麼 ?",250
"251",151,"F1:","(.) 裙子 黏 在 腿 上 .",251
"252",152,"M:","(.) 那 你 幹嘛 穿 裙子 .",252
"253",153,"F2:","(.) 因為 他 說 我 那天 是 主持人 要 穿 .",253
"254",154,"F1:","(.) 那 你 穿 安全褲 .",254
"255",155,"F2:","(.) 我 有 穿 安全[2褲 了2] 但 它 還 是 整個 飛 .",255
"256",156,"F1:","[2穿 褲裙2] .",256
"257",157,"M:","(.) wow .",257
"258",158,"F2:","(.) 大飛 .",258
"259",158,"F2:","(.) 然後 後來 他們 就 去 拿 雙面膠 給 我 黏 .",259
"260",159,"F1:","(.) 黏 雙面膠 也 太 微妙 了 吧 .",260
"261",160,"F2:","(.) @=",261
"262",162,"F2:","[我 那 裙子 是 --",262
"263",162,"F2:","(.)] 我 那 裙子 是 兩層 的 .",263
"264",190,"F1:","(.) 也 不是 就是 [貼 文] .",264
"265",191,"M:","[限動] 硬 要 講 縮寫 .",265
"266",163,"F1:","(.) 但 不 能 穿 西褲 那 種 的 嗎 ?",266
"267",164,"M:","(.) 尷尬 .",267
"268",164,"M:","(.) 你 說 穿 那 種 連身 長 .",268
"269",165,"F1:","(.) 可是 那 種 裙子 不是 應該 就是 窄裙 嗎 ?",269
"270",166,"F2:","(.) 我 有 po 在 IG 上 是 那 種 裙 ## .",270
"271",167,"M:","(.) 哇= .",271
"272",168,"F1:","(.) 那 你 下次 就 穿 那 種 O L 的 窄裙 啊 .",272
"273",169,"M:","(.) 我 是 八 是 沒有 追蹤 你 ?",273
"274",170,"F2:","(.) 哇= .",274
"275",171,"F1:","(.) 你 就 穿 窄裙 .",275
"276",172,"F2:","(.) 有 啦 .",276
"277",172,"F2:","(.) 有 吧 ?",277
"278",173,"M:","(.) 沒有 吧 .",278
"279",174,"F2:","(.) 有 拉 你 有 回 我 ,",279
"280",174,"F2:","(.) 那 個 上次 po 的 那 一 句 話 .",280
"281",175,"M:","(.) 哦= 真的 喔 .",281
"282",176,"F2:","(.) 對 啊 .",282
"283",177,"M:","(.) 其實 很多 人 我 都 沒有 追蹤 ,",283
"284",178,"F2:","(.) 哇 .",284
"285",179,"M:","(.) 我 真的 形同 邊緣人 .",285
"286",179,"M:","(.) 我 不 會 用 啊 .",286
"287",179,"M:","(...) 我 都 不 知道 誰 是 誰 .",287
"288",179,"M:","(.) 我 只有 追蹤 一百九十二 個 人 .",288
"289",180,"F1:","(.) 那 也 是 滿 多 的 .",289
"290",181,"F2:","(.) @ 那 還 比 我 多 欸 .",290
"291",181,"F2:","(.) 哈哈 .",291
"292",182,"M:","(.) 喔 真的 喔 .",292
"293",182,"M:","(.) 沒有 我 就是 當初 辦 的 時候 我 可能 認識 哪些 人 然後 我 就 按 OK 按 OK 然後 就 192 了 就 never change .",293
"294",183,"F1:","(.) 中間 不 會 一直 刪 嗎 我 都 會 一直 刪 .",294
"295",184,"M:","(.) 不 會 啊 反正 我 又 不 常 看 .",295
"296",185,"F2:","(.) 對 啊 我 也 不 會 刪 .",296
"297",186,"F1:","(.) 我 都 會 覺得 不 想 一直 看到 不 熟 的 人 .",297
"298",187,"M:","(.) 真的 喔 .",298
"299",187,"M:","(.) 不 會 啊 不 熟 的 人 應該 也 不 會 發 給 你 看 吧 .",299
"300",188,"F1:","(.) 就 有人 不 熟 但是 很 愛 發 啊 .",300
"301",189,"M:","(.) 你 說 限動 喔 ?",301
"302",190,"F1:","(.) 就是 --",302
"303",191,"M:","(.) 北車 ,",303
"304",191,"M:","(.) 限動 ,",304
"305",191,"M:","(.) 桃機 .",305
"306",192,"F1:","(.) 桃機 還好 吧 ?",306
"307",193,"M:","(.) 真的 喔 .",307
"308",194,"F1:","(.) 我 覺得 這 還好 .",308
"309",195,"F2:","(.) 嗯= .",309
"310",196,"M:","(.) 還 有 什麼 ?",310
"311",196,"M:","(.) 不 知道 .",311
"312",196,"M:","(.) 還 有 什麼 縮寫 ?",312
"313",197,"F2:","(.) 政大 啊 政大 是 縮寫 啊 .",313
"314",198,"M:","(.) 喔 台大 也 是 縮寫 啊 .",314
"315",199,"F1:","(.) 哪 個 學校 不是 ?",315
"316",200,"M:","(.) 建中 也 是 縮寫 啊 景美 .",316
"317",200,"M:","(.) 景美 女中 景女 .",317
"318",201,"F1:","(.) 可是 --",318
"319",202,"M:","(.) 沒有 人 在 講 景女 的 拉 .",319
"320",203,"F1:","(.) 很 少 吧 因為 講 景美 大家 就 會 知道 啊 .",320
"321",203,"F1:","(...) 是 女中 .",321
"322",204,"M:","(.) 可是 北一女 也 是 差 一 個 中 啊 @= ?",322
"323",205,"F1:","(.) 可是 有人 會 講 一女中 啊 ?",323
"324",206,"M:","(.) 喔 那 也 只 差 一 個 北 啊 @ 啊 ?",324
"325",206,"M:","(...) 你 講 北一 大家 也 聽 得 懂 啊 .",325
"326",207,"F1:","(.) 因為 你 講 北一 你 可能 會 混淆 吧 ?",326
"327",207,"F1:","(...) 會 跟 [台北醫 混淆] .",327
"328",208,"F2:","[嗯 .",328
"329",208,"F2:","(.) 會 跟 臺北]醫 學院 混淆 .",329
"330",209,"M:","(.) 所以 大家 還 是 會 講 中山 女中 .",330
"331",209,"M:","(.) 因為 中山 太 <L3 tsai chi-a ((菜市場) ) L3> 名 了 .",331
"332",209,"M:","(.) 有 沒有 有人 講 中大 @@ 講 中大 會 戰 起來 .",332
"333",209,"M:","(.) 唯一 支持 央大 .",333
"334",210,"F1:","(.) 可是 像 什麼 成功 也 不 會 說縮 吧 .",334
"335",211,"M:","(.) 成 高 ,",335
"336",211,"M:","(.) 功高 ,",336
"337",211,"M:","(.) 沒有 欸 .",337
"338",211,"M:","(.) 成功 高中 .",338
"339",211,"M:","(.) 成功 ,",339
"340",211,"M:","(.) 只會 講 成功 .",340
"341",212,"F1:","(.) 就 好像 高中 都 講 前面 兩個 字 .",341
"342",213,"M:","(.) 對 啊 .",342
"343",213,"M:","(.) 我們 不 會 叫 [2建國2] 啊 @ 建國 感覺 很 蠢 欸＠ .",343
"344",214,"F1:","[2對 啊2] .",344
"345",213,"M:","(.) 成功 .",345
"346",213,"M:","(...) 對欸 不 會 ,",346
"347",213,"M:","(.) 不 會 啊 ,",347
"348",213,"M:","(.) 但 會 講 新高 啊 .",348
"349",215,"F1:","(.) 我 第一 次 聽到 這種 說法 欸 .",349
"350",216,"M:","(.) 大家 都 叫 新高 新高 新高 啊 .",350
"351",217,"F2:","(.) 哪 個 新 ?",351
"352",218,"M:","(.) 新店 高中 .",352
"353",218,"M:","(.) 新高 .",353
"354",219,"F1:","(.) 我 沒有 聽過 欸 .",354
"355",220,"M:","(.) 喔 你 不唸 新高 啊 ?",355
"356",220,"M:","(.) 我 高中 多 想 唸 新高 啊 .",356
"357",221,"F1:","(.) 欸 我 同學 那 時候 也 說 想 什麼 他 要 唸 新店 高中 ,",357
"358",221,"F1:","(.) 然後 後來 她 考上 北一 女 ,",358
"359",221,"F1:","(.) 還是 我們 全班 第一 [名 .",359
"360",221,"F1:","(...)] 超猛 的 .",360
"361",222,"M:","[就是] ,",361
"362",223,"M:","(.) 可是 我 高三 的 時候 一直 很 後悔 當初 ,",362
"363",223,"M:","(.) 就是 直接 唸 新高 ,",363
"364",223,"M:","(.) 多 爽 .",364
"365",223,"M:","(.) 雖然 沒有 比較 早 到 學校 .",365
"366",224,"F1:","(.) 這樣 你 榜單 不 就 被 學校 放 三年 ＠ .",366
"367",225,"M:","(.) 沒 關係 啊 ,",367
"368",225,"M:","(.) 搞 不 好 我 現在 就 在 台大 了 .",368
"369",226,"F1:","(.) 那 會 被 放 出來 說 什麼 賀陳 上 台大 @ .",369
"370",227,"M:","(.) 對 啊 .",370
"371",227,"M:","(.) 爽 啊 .",371
"372",227,"M:","(.) 讀 新高 多 棒 啊 .",372
"373",227,"M:","(.) 你 看 又 可以 每天 耍廢 .",373
"374",227,"M:","(.) 耍 一 耍 廢 然後 又 可以 班上 前 幾名 @ .",374
"375",228,"F1:","(.) 然後 直接 用 繁星 就 可以 上 [2台大2] .",375
"376",229,"M:","[2對 啊2] .",376
"377",229,"M:","(.) 我 在 建中 ,",377
"378",229,"M:","(.) 我 連 繁星 的 資格 都 沒有 耶 .",378
"379",229,"M:","(.) 八十 幾 ,",379
"380",229,"M:","(.) 八八 還 九十二 趴 ,",380
"381",229,"M:","(.) 真的 是 超 墊底 .",381
"382",230,"F1:","(0) 但 反正 你 還是 要 考 學測 啊 ,",382
"383",230,"F1:","(.) 所以 也 沒有 比較 輕鬆 到 哪裡 去 吧 .",383
"384",231,"M:","(.) 沒有 欸 ,",384
"385",231,"M:","(.) 我 覺得 真的 比較 輕鬆 .",385
"386",231,"M:","(.) 我 同學 五十 ,",386
"387",231,"M:","(.) 我 有 認識 五十八 上 台大 的 .",387
"388",232,"F1:","(.) 他 是 有 特殊 的 --",388
"389",233,"M:","(.) 沒有 ,",389
"390",233,"M:","(.) 他 就是 繁星 一 趴 .",390
"391",234,"F1:","(.) 喔 .",391
"392",235,"M:","(.) 上 台大 社工 ,",392
"393",235,"M:","(.) 安康 的 .",393
"394",235,"M:","(.) 五十八 .",394
"395",235,"M:","(.) 我 唸 那麼 辛苦 幹嘛 .",395
"396",236,"F2:","(.) 對 啊 .",396
"397",236,"F2:","(.) 我 那些 念 台大 的 也 是 .",397
"398",236,"F2:","(.) 比 我 還 要 ,",398
"399",237,"M:","(.) 對 啊 .",399
"400",237,"M:","(.) 那麼 辛苦 幹嘛 .",400
"401",238,"F2:","(.) 不一樣 啊 .",401
"402",239,"M:","(.) 我 不用 唸書 模考 就 超過 五十八 .",402
"403",240,"F2:","(.) 你好 失禮 喔 .",403
"404",241,"F1:","(.) 台大 裡頭 也 很多 人 很 奮鬥 你 都 .",404
"405",242,"F2:","(.) 對 啊= .",405
"406",243,"M:","(0) 戰 起來 .",406
"407",244,"F2:","(.) 你 要 想 你 在 政大 才 可以 認識 這麼 多 .",407
"408",245,"M:","(0) 誰 .",408
"409",246,"F2:","(.) 楷 啊 .",409
"410",247,"F1:","(.) 如果 你 在 台大 ,",410
"411",247,"F1:","(.) 然後 你 就 會 進 台大 的 理工科 ,",411
"412",247,"F1:","(.) 你 就 會 系 上 全部 都 是 宅宅 .",412
"413",248,"M:","(.) 沒 關係 啊 ,",413
"414",248,"M:","(.) 反正 我 高中 也 都 是 宅宅 @ .",414
"415",249,"F1:","(.) 感覺 起來 .",415
"416",250,"M:","(.) 但 我 覺得 我 應該 不 會 想 念  大學 資工 啦 .",416
"417",250,"M:","(.) 感覺 會 好 累 .",417
"418",250,"M:","(...) 我 不 想 念 普化 ,",418
"419",250,"M:","(.) 普生 ,",419
"420",250,"M:","(.) 普物 .",420
"421",251,"F2:","(...) 這 都 要 唸 嗎 ?",421
"422",252,"M:","(0) 這 都 要 唸 ,",422
"423",252,"M:","(.) 三 類 要 選 一 個 ,",423
"424",252,"M:","(.) 然後 大家 都 會 選 普物 ,",424
"425",252,"M:","(.) 因為 普物 學分 多 .",425
"426",252,"M:",". .然後 普化 真是 ,",426
"427",252,"M:","(...) 你們 都 沒有 寫過 結報 月報 對 不對 ?",427
"428",252,"M:","(.) 化學 .",428
"429",252,"M:","(.) [化學] .",429
"430",253,"F2:","[(...) 有 啦] .",430
"431",253,"F2:","(.) 我 有 聽說 過 .",431
