,Sequence,Speaker,Utterance,Column1
129,99,M2:, .. @ @ @ @ @ <@ 這真 他 媽 的 了不起 喔 @> .,
130,100,M1:, .. ts k,
131,101,M2:, ... 因為 那 時候 他 加 我 .,
132,NA,M2:, 在 <L2 Facebook L2> 上 加 我 .,
133,NA,M2:, X 我 想 這個人 是 誰 .,
134,102,M2:," ... 結果 點進 去 靠 一 看 我 想 說 ,",
135,NA,M2:, 他 那 個憂 鬱症 蠻 嚴重 的 .,
136,NA,M2:," 他 完全 都 在 ,",
137,103,M2:, .. 自問 自答 自言 [自 語] .,
138,104,M1:, [對 呀] .,
139,105,M1:, .. 我 就 把 他 --,
140,NA,M1:, 我 後來 把 他 <L2 block L2> 起來 .,
141,106,M2:, (0) 對 呀 .,
142,NA,M2:, 我 也 是 .,
143,107,M1:," (0) 然 後 ,",
144,108,M1:, .. 我 還舉 報 他 .,
145,109,M1:, ... 我 還 很 難過 的 .,
146,110,M1:," .. 真的 我 舉報 他 ,",
147,NA,M1:," 之後 我 老婆 跟 我 講說 ,",
148,NA,M1:, 你 幹 嘛 舉報 他 .,
149,111,M1:, .. 他 看 不 到 了 @ @ @ .,
150,112,M2:," ...(1.4)  你 要 看 那 個 ,",
151,NA,M2:, <@ 你 就 點進 去 他 那 邊 就 看 得到 啦 @> .,
152,113,M1:, .. um ?,
153,114,M2:, .. 你 要 點進 去 他 的 那 一 個 <L2 are a L2> 還 是 看 得 見 他 寫 的 所有 東西 呀 .,
154,115,M1:, (0)  是 喔 .,
155,116,M1:, ... 我 把 他 <L2 block L2> 起 來還 舉報 他 .,
156,117,M2:, (0)  <L2 block L2> 起來 他 就 不 會 出現 在 你 那 邊 .,
157,NA,M2:," 可是 ,",
158,NA,M2:," 你 從 朋友 那 裡面 去 搜尋 ,",
159,NA,M2:, 他 還 在 你 的 <L2 list L2> 裡面 .,
160,118,M1:, .. 是 喔 .,
161,119,M2:, (0)  對 .,
162,NA,M2:, 除非 你 把 他 解除 .,
163,NA,M2:, 朋友 關係 .,
164,120,M1:, (0)  我 好像 把 他 <L2 delete L2> 掉 了 .,
165,121,M2:, (0)  那 你 可能 就 沒 了 @ @ @ @ .,
166,NA,M2:, 因為 呢 ，,
167,NA,M2:, 我 是 把 他 <L2 block L2> 住 .,
168,NA,M2:, 然后 呢 那 我 點進 去 還 是 看 得到 .,
169,122,M2:," .. 那 我 看 他 其實 ,",
170,123,M2:, .. 看 得 出蠻 嚴重 的 .,
171,124,M2:, .. 他 那 個 其實 需要 看 醫[生] .,
172,125,M1:, [他 好像]現 在 --,
173,126,M1:," .. 現在 都 是 寫信 給 那 個 ,",
174,127,M1:," .. 叫 什麼 名字 ,",
175,128,M1:, ... 徐 .,
176,129,M2:, (0)  @ @ 他 會 每 個 人 發 啦 .,
177,130,M2:, .. 他 沒有 發給 我 .,
178,131,M2:, .. 因為 他 不 知道 我 是 誰 .,
179,132,M2:, .. 他 只是 把 我 加 -,
180,NA,M2:, 他 可能 看出 我 是 --,
181,133,M1:," .. 他 可能 ,",
182,134,M1:, .. [他 可能] --,
183,135,M2:, [這 些]人 的 [[朋友]] .,
184,136,M1:, [[他 可能]] 會 --,
185,NA,M1:, 會發 到 黃 那 邊 去 吧 .,
186,137,M1:, .. 不 過黃 應該 不 會理 他 .,
187,138,M2:, .. 沒有 啊 完全 沒 任何 反應 啊 .,Holly
188,139,M2:, ... 因為 我 也 看 一下 X 黃X 的 那 個 --,
189,140,M2:, .. <L2 Facebook L2> 他 好像 也 都 沒 什麼 他 應該 也 是 把 他 <L2 block L2> 的 動作 .,
190,141,M1:, (0)  um .,
191,142,M1:, ...(1.4) 對 呀 .,
192,143,M2:," (0)  那 我 有 進 去 看 他 寫 那 個 我 就 覺 得 說 ,",
193,144,M2:, .. 他 那 個 思緒 整個 都 亂掉 了 .,
194,145,M2:, .. 他 那 個 其 實真 的 [就是] --,
195,146,M1:, [有]嚴 重 被 害妄 想 .,
196,147,M2:, (0)  他 不管 .,
197,148,M2:, .. 他 那 個 ho不管 吃 藥 .,
198,149,M2:, .. 跟 心 <L2 pro L2> 看 都 要 做 .,
199,150,M2:, ... 這 是 --,
200,151,M2:, .. 這個 是 蠻 麻煩 的 事 但是 最 怕 的 就是 他 --,
201,NA,, .. 我 看 他 他 好像 不 承認 .,
202,152,M1:, (0) 對 呀 .,
203,153,M2:," (0)  我 看到 他 有 好 他 朋友 ,",
204,154,M2:, .. 在 裡面 寫說 eh[他 是不是 變] 了 或者 說 他 是不是 生病 了 是不是 需要 去 看 醫生 他 也 都 沒 回應 .,
205,155,M1:, [X XX] .,
206,156,M2:, ...(1.8)  他 一定 是 自己 簡單 來說 他 有 這樣 的 狀況 .,
207,157,M1:, .. 當然 .,
208,158,M1:, .. 沒有 幾個人 覺得 說 自己 有 神經病 .,
209,159,M2:, .. @ @ 其實 這是 有 預見 就是 <L2 depression L2> 嘛 .,
210,160,M2:, .. 就 看一看 應該 還好 啊 .,
211,161,M2:, ...(1.5) 對不對 ?,
212,162,M1:, .. 也是 啦 .,
213,163,M1:," .. 因為 前幾天 他 才 來 找 我 吃飯 ,",
214,164,M1:, .. 小樓 回來 [台 灣] --,
215,165,M2:, [蛤] 那 我 覺得 他 --,
216,166,M2:, .. 他 這 樣子 他 壓力 應該 很 大 耶 .,
217,167,M2:, .. 他 有 他 離 了 嗎 ?,
218,168,M1:, .. 他 說 在 <L2 file divorce L2> 啊 .,
219,169,M2:, 唉 .,
220,170,M1:, ...(1.8)  他 說 他 從 澳 門 <L2 file divorce L2> 在 台灣 <L2 file L2> 保護 令 .,
221,171,M1:, ...(2.3)  要 分居 的 時間 夠 --,
222,172,M1:, .. 夠久 好像 滿兩年 他 就 --,
223,173,M1:, ... 他 就 可以 離婚 了 .,
224,174,M2:, (0)  很 辛苦 .,
225,175,M1:, (0)  所以 他 必須 <L3 kin L3> 住 兩年 .,
226,176,M2:," (0) 然後 ,",
227,177,M2:, ... 聽 那個 我 上次 聽 我 忘記 誰講 的 女方 家人 認為 說 他們 女兒 沒有 問[題] .,
228,178,M1:, [對 呀] .,
229,179,M2:, .. 是 真的 被 --,
230,180,M2:, .. 女 --,
231,NA,, .. 他 老公 家暴 靠 .,
232,181,M2:, .. <@ 那 問題 就 不是 這樣子 嘛 你 任何 --,
233,182,M2:, .. 頭腦 清楚 的 人 @> 看到 他 的 言行 [[就 知道 他 有 問題 啊]] .,
234,183,M1:," ...(5.3) [[<L2 so L2> 小樓 跟 我 講說]] ,",
235,NA,, .. 他 只是 幫個 魚換 個水 因為 有 的 時候 不是 那 個水 用用 --,
236,184,M1:, .. 用 那 個 水管 要 用 嘴巴 吸嗎 .,
237,185,M1:, ... 就是 把 那個 水 吸出 來 吸出 一 個 <L2 vacuum L2> .,
238,186,M1:, .. 就 真空 嘛然 後 再 利用 那 個 真空 的 原理 把 那 個水 倒出 來 .,
239,187,M1:," ... 那 他 說 ,",
240,188,M1:, .. 他 看到 小樓 那 樣子 說 小樓 吸毒 .,
241,NA,, .. @ @ @ @ <@ 小樓 就 --,
242,189,M1:, ... 最好 魚缸 那 個 是 @> @ @ @ .,
243,190,M2:, ... 喔 .,
244,191,M2:, .. 我 覺得 他 其實 這樣 他 很 可憐 .,
245,192,M2:, .. 如果 ho 他 沒有 --,
246,193,M2:, ... 他 其實 可以 強制 就醫 吧 .,
247,194,M1:, .. 靠 XXX .,
248,195,M2:, ... 如果 [他 XX X] --,
249,196,M1:, [<L2 Hey look bro L2>] <L2 That 's a fine line between L2> --,
250,NA,, .. 強制 就醫 <L2 and L2> 家 暴 <L2 <@ OK @> ; L2> @ ?,
251,197,M2:," ... 所以 要是 我 ,",
252,198,M1:, .. 他 強制 就醫 的 話 他 <L2 parents L2> 可以 幫 他 強制 就醫 .,
253,199,M1:, .. 我們 不行 .,
254,200,M2:, (0)  為[什麼] ?,
255,201,M1:, [我們 做] 老公 的 不行 .,
256,202,M2:, .. 可以 吧 ?,
257,203,M1:, .. uh 除非 對 我們 造成 --,
258,204,M1:, .. <@ 生活 上 的 [損 害] @> .,
259,205,M2:, [應該 可以] 呀 他 那個 影響 這麼 大 其實 --,
260,206,M2:, .. 我 記得 可以 家屬 --,
261,207,M2:," .. 你 只要 打電 話 跟 醫院 講 ,",
262,208,M2:," .. 像 是 台大 榮總 或是 北醫 都 可以 ,",
263,209,M2:, .. 他們 會 查 .,
264,210,M2:, .. 他 就 可以 派 人 來 .,
265,211,M2:, .. 然後 必要 時 你 可以 跟 他 講說 你 要 警察 一起 來 .,
266,212,M2:, .. .然後 <@ 就 把 他 @> --,
267,213,M1:, [[把 他 綁起來]] .,
268,214,M2:, [[<@ 輕微 的 @>]] .,
269,215,M1:, .. [[[@ @ @ @ @ @]]],
270,216,M2:, .. [[[輕 --,
271,217,M2:," .. 不要 說 我 把 他 ,",
272,218,M2:, .. 輕微 的 <@ 綁 一下 帶走 @>]]] .,
273,219,M1:, [[[@ @ @ @ @ @ @ @ @ @ @ @ @ @]]],
274,220,M2:," 他 [[其實]] 就 這[[[樣]]] ,",
275,221,M1:, [[用]] --,
276,NA,M1:, [[[用]]] 膠帶捆 起來 @ [@] .,
277,NA,M2:, [對] 但是 問題 是 重點 是 如果 他 現在 不 知道 他 老婆 在 哪裡 .,
278,222,M1:, .. 對 呀 .,
279,223,M2:, .. 那 就 很 麻煩 .,
280,224,M1:," (0)  可是 他 跟 我 講說 ,",
281,225,M1:, ... 他 老婆 現在 好像 在 搞 一些 --,
282,226,M1:, .. 他 們家 的 那 個 --,
283,227,M1:, ... 這個 給 他 --,
284,228,M1:, .. 之前 給 他 兒子 的 那 一些 黃金 大概 加起來 -,
285,NA,M1:, 有 半斤 左右 。,
286,229,M1:, .. 八 兩 喔 .,
287,230,M1:, .. <@ 八兩喔 @> @ @ @ @ @ .,
288,231,M2:, .. 這真 的 是 蠻扯 的 .,
289,232,M1:, ... 然後 到 --,
290,233,M1:, .. 賣到 只 剩下 一 副 .,
291,234,M2:, ...(2.2) tsu .,
292,235,M1:, (0) 然 後說 --,
293,236,M1:, .. 這個 --,
294,237,M1:, ... 都 --,
295,238,M1:, .. 他 到 台北 請 人家 吃飯 都 很 闊氣 的 請 <L2 W Hotel L2> 喔 .,
296,239,M2:, .. tsu 他 整個 思緒 跟 --,
297,240,M2:, ... [shi] --,
298,241,M2:, ... 頭腦 整個 都 亂 了 .,
299,242,M1:, [um] .,
300,243,M1:, (0)  想 說 --,
301,244,M1:, .. 你 老婆 在 --,
302,245,M1:, .. 高雄 哪裡 呀 ?,
303,246,M1:, .. 他 說 我 不 知道 .,
304,247,M1:, .. 好像 都 不 跟 他 聯絡 ，,
305,NA,, 然後 就 說 他 都 傳 一些 很 奇怪 的 簡訊 給 他 還給 我 看 .,
306,248,M1:, .. 然後 他 就 說 看到 就 --,
307,249,M1:, .. 真的 就 覺 得 很 --,
308,NA,, .. 很 詭異 .,
309,250,M1:, .. 還 <L2 actually L2> 說 我 李昌钰 啊 幹 嘛 的 跟 他 當好 朋友 呀 .,
310,251,M2:, (0)  他 就 寫 一些 很 [奇怪 的 東西 呀] .,
311,252,M2:, .. 一 看 就 知道 是 有 點問 題 .,
312,253,M2:, .. 不是 很 有 點問 題 是 有 很 大 的 問題 的 .,
313,254,M1:, [@ @ @] .,
314,255,M1:," ...(2.0)  應該 叫 我 老婆 去 看 一下 ,",Minyi
315,256,M1:, .. 看看 有沒 有 辦法 <L2 link it to L2> 這個 --,
316,257,M1:, .. 把 他 加起 來當 朋友 X .,
317,258,M2:, (0)  @ @ @ 我 還有 你 要 看 他 的 東西 我 都 看 得到 .,
318,NA,, .. @ 只是 我 把 他 <L2 block L2> -,
319,NA,, 但是 我 只要 點進 去 還 是 看 得到 我 覺 得 很 好笑 .,
320,259,M1:, (0)  後來 我 好像 是 把 他 <L2 delete L2> 掉 .,
321,260,M2:, (0)  um .,
322,261,M1:, <L2 Maybe it ’ s why L2> .,
323,262,M1:, .. 因為 我 覺得 -,
324,263,M1:, ... 這種人 沒事 的 -,
325,264,M1:, .. 沒事 在 那 邊寫 一些 怪裡 怪氣 的 東[西] .,
326,265,M2:," [他]寫 很多 ,",
327,266,M2:," .. 我 就是 自從 ,",
328,267,M2:, .. 把 他 加進 來 -,
329,NA,," (0) 然 後 我 就 馬上 把 他 <L2 block L2> 住 ,",
330,NA,, .. 後來 就 不 見 了 .,
331,268,M1:, .. XXX 喔 .,
332,269,M2:," (0)  但是 其實 你 要 看 都 還 是 看 得到 啦 ,",
333,NA,, .. 很 好笑 .,
334,270,M2:, ...(4.0)  唉 這個 現代 人 的 毛病 也 是 很多 耶 .,
335,271,M1:, .. 蛤 那 個 尤其是 --,
336,272,M1:, .. 很 嚴重 啊 .,
337,NA,, .. 小樓 也 講說 他 也 沒有 說 .,
338,273,M1:, .. 他 說覺 得 說 如果 說 他 覺得 在 家裡 太 無 聊 .,
339,274,M1:, .. 他 就 去 --,
340,275,M1:, ... 去 工作 嘛 .,
341,276,M1:, ... 賺多 賺少 那 是 一 回 事 啊 .,
342,277,M2:, .. um .,
343,278,M1:, .. 然後 去 工作 有 點 事情 做 .,
344,279,M1:, ...(2.2)  那 --,
345,280,M1:, .. 他 又 不要 .,
346,281,M2:, ...(1.9)  那 像 --,
347,282,M2:, .. 我 想 一下 我 最後 我 -,
348,283,M2:, .. 因為 我 跟 他 不 熟 --,
349,NA,, 是 李 跟 嘉認 識 他 .,
350,284,M2:, .. 然後 零九 年 那 時候 [我 們 剛好 在 去] --,
351,285,M1:, [在 他 在]內湖 有 一 段 時間 了 .,
352,287,M1:," .. 因為 我 那 時候 剛進 [[寶來 的]] 那 時候 ,",
353,288,M2:, [[喔 喔]] .,
354,289,M1:, .. 他 --,
355,290,M1:, ...(1.7)  那 時候 我 寫 <L2 Moodys L2> 信評 他 寫 --,
356,291,M1:, .. [[[他 寫]]] 中 華信 評 .,
357,292,M2:, ...(3.5) [[[喔]]] .,
358,293,M1:, .. 所以 信評 這個 部分 我 們 算是 有 交[[[[集]]]] .,
359,294,M2:, [[[[那]]]] 我 在 猜 他 後來 應該 就 --,
360,295,M2:, .. 零九年 我 碰到 他 的 時候 --,
361,296,M2:, .. 他 看起來 應該 已 經 有 那 樣 的 症狀 -,
362,NA,, 只是 那 時候 不嚴 重還 是 說 因 為 --,
363,297,M2:, .. 朋友 來 --,
364,NA,, 然後 因為 那 一 天 他 也 沒講 什麼 話 .,
365,298,M1:, [喔] .,
366,299,M2:, [我 們 也 感] 受 --,
367,300,M2:, .. [[我 們 也 感覺 不 出 來]] .,
368,301,M1:, [[大概 -,
369,302,M1:," .. 大概 就是]] 趕快 他 媽 的 吃 完 跑 了 ,",
370,303,M2:, .. 對 那 一 天 我 們 也 感覺 不 出來 他 有 什麼 特殊 的 異樣 說真 的 .,
371,304,M1:, ...(1.3) 李 知道 嗎 ?,
372,305,M2:, (0)  都 知道 阿 .,
373,306,M1:, ...(0.9) 李 也 有 被 他 騷擾 過嗎 ?,
374,307,M2:, ...(0.7)  好像 有 .,
375,308,M1:, [@ @ @],
376,309,M2:, [但是 呢] --,
377,310,M2:, .. 李應該 也 是 把 他 打發 掉 而已 .,
378,311,M1:, ...(1.8)  那 李 那 個 比 較 厲害 啦 .,
379,312,M2:, .. 應該 就是 把 他 打發 掉 .,
380,313,M1:," .. 李應該 就是 ,",
381,314,M1:, ...(1.7)  <L3 tseng siau e L3> 啦 .,
382,315,M2:, (0) 對 呀 .,
383,316,M2:, .. @,
384,317,M1:, ...(2.3) eh 他 現 在 還 -,
385,318,M1:, .. 他 現 在 還 在 大展 .,
386,319,M2:, (0)  um .,
387,320,M2:, .. 他 掛執 副 我 在 猜 他 可能 過 兩年 變總 經理 .,
388,321,M1:, (0) 總 經理 .,
389,322,M2:, (0)  @ @,
390,323,M1:, .. eh 你 不要 看 .,
391,324,M1:, .. 那 個 莉從 投信 離開 了 之後 現在 是 國泰 -,
392,NA,, (0)  國 泰證 的 總經 理ne .,
393,325,M2:," (0) 對 我 有 聽說 ,",
394,NA,, (0)  那 個國 泰證 想 要 --,
395,326,M2:, .. 看看 有沒 有 辦法 做到 -,
396,NA,, (0)  可是 --,
397,327,M2:, .. 我 覺 得 還 是 很 小 呀 .,
398,328,M2:, ... 他 是 不是 才 兩個 店 還 三 個 [店] .,
399,329,M1:, [他] -,
400,330,M1:, .. 他 找白 當總 經理 可能 會大 一 點 .,
401,NA,, <@ 找莉 當總 經理 <L3 na u kho liang L3> @> .,
402,331,M2:, ...(1.8) 然 後莉 [[也]] 挖 了 幾個 以前 寶來 的 人 過 去 .,
403,332,M1:, [[不然]] -,
404,333,M1:, (0)  不然 就 找 那 個 --,
405,334,M1:, ... 找 那 個 --,
406,335,M1:, .. 找黃 老爹 當總 經理 呀 .,
407,336,M1:, .. <@ 那 好 一 點 好不 好 @> .,
408,337,M2:," .. 莉 ,",
409,338,M2:, .. 我 覺得 他 只 會 做 小事eh .,
410,339,M1:," .. 沒有 啊 我 說 ,",
411,340,M1:, .. 他 -,
412,341,M1:, .. 他 在 -,
413,NA,, (0)  他 在 我 們 之前 那 個 也 就是 穿 著 <L2 Prada L2> 的 惡魔 啊 .,
414,342,M2:, (0) 對 呀 .,
415,343,M1:, (0)  @ @[@ @ XX X],
416,344,M2:, [他 都 管 一些 無]聊 的 小事 .,
417,345,M1:, [[辦 公桌 放 一 邊]] .,
418,346,M2:, [[是 蠻無聊 的]] .,
419,347,M2:, .. 對沒 什麼意思 [[[啊]]] .,
420,348,M1:, [[[唉]]] .,
421,349,M2:," ...(1.4)  那 陣子 我 剛好 [在] ,",
422,350,M1:, [喔 對] 你 那 時候 [[在 內湖]] .,
423,351,M2:, [[我 很 討厭 阿]] 我 覺 得 他 很 煩 .,
424,NA,, (0)  他 一 開 始先 說 什麼 <L2 MSN L2> 不 能 用 .,
425,352,M1:, ... 這個 合理 呀 合理 呀 合理 .,
426,353,M2:, (0) 然 後 大家 就 改用 <L2 Skype L2> .,
427,NA,," (0) 然 後 後來 呢 ,",
428,354,M2:, .. 後來 又 說 --,
429,355,M2:, ... 你 有 申請 他 就 可以 開放 -,
430,NA,, (0)  反正 我 們 就 大家 去 申請 .,
431,NA,, (0) 然 後 只是 那 陣子 就 比 較少 .,
432,NA,, (0) 然 後 又 說 --,
433,356,M2:, ...(.9) 什 麼辦 公桌 上面 什麼 東西 要 怎麼 擺 .,
434,NA,, (0) 然 後 我 想 說 你 -,
435,NA,, (0)  頭腦 有 問題 我 根本 不 甩 他 .,
436,357,M2:," ...(.7) 然 後 有 一 陣子 還 ,",
437,358,M2:, ...(.8) 人 資還 跟 我 說 什麼 我 -,
438,359,M2:, ...(1.0)  我 西裝 外套 吊 後面 不行 .,
439,360,M2:, .. 我 想 說 我 吊 在 那 邊關 你 屁事 啊 ?,
440,NA,, (0)  是 怎樣 ?,
441,NA,, .. 我 就 [不 甩 他] .,
442,361,M1:, [喔 對] 你 是 說吊 在 椅子 -,
443,NA,, (0) 掛 在 椅子 上 呀 .,
444,362,M2:, (0)  不是 椅子 上 .,
445,NA,," (0)  後面 那 個 ,",
446,363,M2:," .. <L2 cubicle L2> 那 個 ,",
447,364,M2:, .. <L2 cubicle wall L2> 上面 .,
448,365,M1:, (0)  喔 .,
449,366,M1:, ... 為 什麼 不行 ?,
450,367,M2:, (0)  我 那 邊 有 一 根 --,
451,NA,, (0)  那 種 有 一 個 突出 來 .,
452,NA,, (0)  我 就 用 [一 個 衣架 掛] .,
453,368,M1:, [對 呀] .,
454,NA,, (0) 對 呀 很多 人 都 這樣 啊 .,
455,369,M2:, (.8)  他 說 什麼 有 礙風化 -,
456,NA,, (0)  我 想 說 我 管 你 的 ?,
457,NA,, (0)  如果 不 高興 就 把 我 趕走 呀 !,
458,NA,, .. 你 把 我 <L2 fire L2> 掉 好 了 !,
459,NA,, (0) 還 是 你 減 我 薪 -,
460,NA,, (0)  我 就 不 甩 他 -,
461,NA,, (0)  我 就 繼 續掛 -,
462,370,M2:, .. 然後 他 還會 來檢 查說 什麼 領帶 .,
463,371,M2:, ... 什麼 顏色 .,
464,372,M2:, ...(.7)  他 那 個頭 腦 真 得 都 壞掉 了 .,
465,NA,, (0)  反正 我 就 不 甩 .,
466,NA,, (0)  一直 在 那 邊 X 不 甩 不 甩 不 甩 不 [[甩]] .,
467,373,M1:, [[eh]] 我 們 以前 -,
468,374,M1:, .. 以前 -,
469,375,M1:," ...(.8)  喔對 了 ,",Sherry
470,NA,M1:, 你 不是 坐 裡面 哪 .,
471,376,M1:, ...(.9)  南海 特區 .,
472,NA,M1:, @ @ @ @,
473,377,M2:," .. 一 開始 呢 ,",
474,NA,M2:," 我 有 坐 在 裡面 ,",
475,NA,M2:, 然後 後 來[因 為] --,
476,378,M1:, [那 你]為 什麼 搬出 來 ?,
477,379,M2:, .. 因為 他們 --,
478,NA,M2:, 劉 被 換進 去 .,
479,380,M1:," (0)  喔 ,",
480,381,M1:, ... [對 對對 對對] .,
